model,gpu,sequence_length,mode,task,ppl,peak_vram_mib,elapsed_seconds,status,failure_reason,oom_point,idle_vram_mib,log_path,vram_csv
OPT-1.3B,RTX 5080,128,Original FP16,wikitext,35.375,3421,23.54,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq128_original.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq128_original_vram.csv
OPT-1.3B,RTX 5080,128,Oaken,wikitext,36.6562,3427,55.57,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq128_oaken.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq128_oaken_vram.csv
OPT-1.3B,RTX 5080,256,Original FP16,wikitext,25.8906,3471,18.86,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq256_original.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq256_original_vram.csv
OPT-1.3B,RTX 5080,256,Oaken,wikitext,26.9219,3477,33.80,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq256_oaken.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq256_oaken_vram.csv
OPT-1.3B,RTX 5080,512,Original FP16,wikitext,20.2031,3369,17.61,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq512_original.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq512_original_vram.csv
OPT-1.3B,RTX 5080,512,Oaken,wikitext,21.0938,3373,25.72,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq512_oaken.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq512_oaken_vram.csv
OPT-1.3B,RTX 5080,1024,Original FP16,wikitext,16.7812,3733,16.73,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq1024_original.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq1024_original_vram.csv
OPT-1.3B,RTX 5080,1024,Oaken,wikitext,17.5938,3749,22.01,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq1024_oaken.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq1024_oaken_vram.csv
OPT-1.3B,RTX 5080,2048,Original FP16,wikitext,14.6406,4673,16.70,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq2048_original.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq2048_original_vram.csv
OPT-1.3B,RTX 5080,2048,Oaken,wikitext,15.4297,4689,21.23,OK,,,131,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq2048_oaken.log,analysis/outputs/kv_cache_pressure/rtx5080/raw_logs/1_3b_seq2048_oaken_vram.csv
