model,cache_mode,batch_size,seq_len,status,success,error_type,peak_vram_used_mib,throughput_tokens_per_sec,final_cache_seq_len,theoretical_dynamic_kv_mib
facebook/opt-1.3b,dynamic,1,1024,OK,True,,3049.0,3242.994362,1024,192.0
facebook/opt-1.3b,dynamic,1,2048,OK,True,,3569.0,8411.4541,2048,384.0
facebook/opt-1.3b,dynamic,1,4096,OK,True,,4167.0,6463.437293,4096,768.0
facebook/opt-1.3b,dynamic,1,6144,OK,True,,7663.0,5246.035442,6144,1152.0
facebook/opt-1.3b,dynamic,1,8192,OK,True,,7663.0,4361.825847,8192,1536.0
facebook/opt-1.3b,dynamic,2,1024,OK,True,,3053.0,11260.960148,1024,384.0
facebook/opt-1.3b,dynamic,2,2048,OK,True,,3849.0,9527.579617,2048,768.0
facebook/opt-1.3b,dynamic,2,4096,OK,True,,7679.0,7153.989441,4096,1536.0
facebook/opt-1.3b,dynamic,2,6144,OK,True,,7699.0,5709.499214,6144,2304.0
facebook/opt-1.3b,dynamic,2,8192,OK,True,,7699.0,4777.286182,8192,3072.0
facebook/opt-1.3b,dynamic,4,1024,OK,True,,4499.0,12041.197525,1024,768.0
facebook/opt-1.3b,dynamic,4,2048,OK,True,,7685.0,9906.444324,2048,1536.0
facebook/opt-1.3b,dynamic,4,4096,OK,True,,7687.0,7388.662398,4096,3072.0
facebook/opt-1.3b,dynamic,4,6144,OK,True,,7689.0,5727.429715,6144,4608.0
facebook/opt-1.3b,dynamic,4,8192,OOM,False,CUDA_OOM,7687.0,,6144,6144.0
facebook/opt-1.3b,dynamic,8,1024,OK,True,,7671.0,11960.437851,1024,1536.0
facebook/opt-1.3b,dynamic,8,2048,OK,True,,7699.0,9957.246952,2048,3072.0
facebook/opt-1.3b,dynamic,8,4096,OOM,False,CUDA_OOM,7699.0,,3072,6144.0
facebook/opt-1.3b,dynamic,8,6144,OOM,False,CUDA_OOM,7699.0,,3072,9216.0
facebook/opt-1.3b,dynamic,8,8192,OOM,False,CUDA_OOM,7699.0,,3072,12288.0
facebook/opt-1.3b,no_cache,4,8192,OK,True,,3015.0,13238.427089,0,6144.0
facebook/opt-1.3b,no_cache,8,4096,OK,True,,3029.0,14646.74801,0,6144.0
facebook/opt-1.3b,no_cache,8,6144,OK,True,,3029.0,14585.522865,0,9216.0
facebook/opt-1.3b,no_cache,8,8192,OK,True,,3029.0,14550.338413,0,12288.0
facebook/opt-1.3b,quantized,4,8192,OK,True,,7687.0,157.931751,8192,6144.0
facebook/opt-1.3b,quantized,8,4096,OK,True,,7351.0,317.215572,4096,6144.0
facebook/opt-1.3b,quantized,8,6144,OOM,False,CUDA_OOM,7607.0,,4224,9216.0
facebook/opt-1.3b,quantized,8,8192,OOM,False,CUDA_OOM,7691.0,,4224,12288.0
